Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch94_file113	3553	12	7	6	3	3	2
ch162_file55	3509	12	6	5	2	1	0
ch75_file5	4614	14	10	6	3	1	0
ch135_file4	3296	11	6	3	0	0	0
ch461_file72	3612	10	5	2	1	1	1
ch1_file104	4435	16	11	7	5	3	2
ch275_file20	1002	2	1	1	1	1	1
ch139_file41	2459	3	2	1	1	1	0
ch486_file4	4070	19	12	8	6	5	4
ch164_file125	4686	13	7	5	2	1	1
ch474_file49	4332	14	9	7	4	3	2
ch166_file29	1522	6	5	4	3	3	2
ch452_file79	2924	7	5	1	1	1	0
ch181_file61	3324	20	13	7	5	2	2
ch453_file58	2649	10	9	2	1	1	1
ch199_file98	1303	2	1	0	0	0	0
ch285_file15	4036	14	9	3	1	1	0
ch66_file275	2270	3	3	3	1	1	0
ch251_file16	3415	15	9	6	5	3	2
ch154_file90	6432	19	10	3	2	1	1
ch136_file37	5011	19	14	9	3	2	2
ch412_file8	7337	25	17	9	5	1	1
ch196_file14	2261	11	5	3	2	0	0
ch172_file52	1630	9	7	5	3	3	2
ch366_file30	4697	29	11	3	2	2	1
ch221_file7	2622	5	1	0	0	0	0
ch223_file25	1687	5	4	2	1	0	0
ch18_file134	601	1	1	1	0	0	0
ch170_file0	1361	3	1	1	0	0	0
ch361_file28	3044	6	3	3	2	1	1
ch510_file59	6044	14	7	6	2	0	0
ch423_file76	7916	21	11	8	2	1	1
ch405_file90	3794	11	5	4	2	1	1
ch181_file67	3865	12	7	5	2	2	0
ch216_file111	3254	8	5	1	1	1	0
ch314_file4	3372	17	11	6	2	2	1
ch248_file96	1449	1	1	1	1	0	0
ch223_file64	2225	7	3	2	0	0	0
ch248_file16	5650	25	13	7	2	1	1
ch468_file130	3760	17	10	6	4	3	1
ch441_file23	1704	10	7	6	2	2	2
ch324_file40	3895	9	4	3	1	1	1
ch1_file24	12018	45	24	12	7	6	2
ch224_file1	2616	5	3	2	1	1	0
ch281_file0	875	1	1	0	0	0	0
ch412_file22	1373	1	0	0	0	0	0
ch465_file55	766	2	1	0	0	0	0
ch214_file12	9134	36	20	13	11	7	1
ch144_file37	5710	15	8	5	3	2	0
ch149_file8	2375	12	5	3	3	3	2
ch18_file25	826	2	2	2	1	1	0
ch198_file37	5276	24	9	7	4	4	2
ch251_file15	3092	10	7	3	2	1	1
ch407_file43	6450	16	10	8	5	3	2
ch442_file94	5934	26	17	9	6	5	4
ch20_file2	539	0	0	0	0	0	0
ch139_file34	2884	5	2	1	0	0	0
ch281_file60	4756	13	7	6	3	2	1
ch1_file23	5209	11	6	4	0	0	0
ch286_file93	4360	18	13	11	6	3	0
ch19_file9	2628	7	5	3	1	1	1
ch202_file20	5749	15	10	5	4	1	0
ch327_file62	300	2	0	0	0	0	0
ch512_file21	2419	11	6	4	1	1	1
ch481_file7	6313	23	9	3	0	0	0
ch360_file97	1907	10	5	3	3	2	1
ch154_file122	2288	5	4	1	1	1	0
ch66_file109	1248	3	1	0	0	0	0
ch187_file3	3275	18	9	3	1	1	0
ch286_file160	2498	18	11	7	4	2	1
ch223_file14	4049	15	8	4	3	3	1
ch1_file103	6242	19	12	7	4	1	0
ch294_file16	2522	16	8	6	1	0	0
ch248_file10	782	3	2	0	0	0	0
ch474_file67	4199	20	11	4	1	1	1
ch453_file96	5919	18	14	6	5	4	1
ch294_file155	4639	24	11	4	1	1	1
ch351_file19	2195	7	5	4	2	2	1
ch219_file9	1608	11	7	4	3	2	1
ch1_file74	7592	26	19	10	8	5	3
ch146_file1	3146	19	16	9	8	5	2
ch172_file66	1070	2	2	0	0	0	0
ch360_file4	1790	7	4	2	1	1	1
ch202_file14	5265	21	12	4	3	2	0
ch19_file194	2428	10	6	3	2	2	2
ch286_file108	2851	8	2	2	2	1	1
ch134_file17	8180	29	17	10	4	3	1
ch184_file115	7792	24	10	8	2	1	0
ch94_file149	1542	7	2	0	0	0	0
ch75_file90	7072	17	9	6	3	3	1
ch164_file61	3743	7	5	4	3	2	1
ch286_file2	1719	7	5	1	0	0	0
ch106_file237	4521	10	6	4	0	0	0
ch406_file144	9409	24	14	11	5	4	2
ch66_file52	4609	16	8	7	5	5	2
ch452_file143	3519	13	6	4	4	1	1
ch4_file127	1670	5	2	1	1	1	1
ch281_file53	3860	15	5	3	0	0	0
ch26_file19	1194	1	0	0	0	0	0
ch243_file5	2196	6	4	3	2	1	0
ch180_file151	7778	33	19	13	8	6	4
ch426_file89	963	5	3	1	0	0	0
ch11_file1	904	0	0	0	0	0	0
ch426_file81	3148	11	6	4	1	1	0
ch488_file38	2488	3	3	2	1	1	1
ch253_file41	3827	13	6	4	2	1	0
ch411_file59	2601	5	3	1	0	0	0
ch456_file9	659	2	1	1	1	1	1
ch290_file0	2188	6	1	1	1	1	0
ch423_file3	7570	41	25	18	13	6	4
ch285_file0	2736	9	5	4	1	1	1
ch355_file34	4435	18	9	8	7	5	1
ch140_file48	3499	10	5	3	1	1	1
ch91_file13	1276	2	1	1	1	1	0
ch285_file18	1939	3	3	1	0	0	0
ch214_file53	6190	26	16	8	4	3	3
ch99_file7	3531	15	10	8	5	3	2
ch85_file225	7376	28	16	9	3	1	1
ch292_file74	3403	19	9	6	2	1	0
ch135_file7	1363	4	2	2	1	1	0
ch374_file18	7537	40	22	10	4	3	2
ch327_file150	1940	6	3	0	0	0	0
ch75_file14	7702	13	8	2	2	2	1
ch202_file128	6265	19	10	5	3	2	1
ch181_file31	7476	34	23	17	9	5	4
ch441_file17	4038	22	13	8	7	2	2
ch135_file43	2870	8	5	3	2	2	1
ch452_file85	5869	16	10	9	6	3	1
ch281_file46	5159	6	4	4	2	0	0
ch100_file7	1376	4	4	2	1	1	0
ch214_file153	2151	7	5	3	2	0	0
ch84_file10	1769	6	4	1	1	0	0
ch154_file38	3547	8	3	1	1	0	0
ch361_file21	3449	15	13	7	3	1	1
ch58_file16	9136	49	30	18	13	8	4
ch362_file13	6870	21	10	8	6	3	3
ch140_file26	5844	21	14	10	6	2	0
ch276_file86	5087	9	3	2	1	0	0
ch466_file79	3200	17	9	5	2	0	0
ch300_file94	2346	4	2	2	1	0	0
ch284_file64	2439	4	3	2	2	1	1
ch336_file63	3520	9	7	3	2	1	1
ch136_file14	1315	7	1	1	1	0	0
ch86_file82	672	1	1	0	0	0	0
ch243_file77	4725	15	7	0	0	0	0
ch157_file54	4761	16	5	3	0	0	0
ch286_file109	6948	20	13	5	3	2	2
ch214_file65	5692	14	9	5	1	1	1
ch498_file3	3918	18	10	8	4	2	2
ch208_file15	1419	3	2	2	2	2	1
ch26_file113	8247	43	32	21	14	7	4
ch286_file165	3089	10	6	2	1	1	1
ch59_file5	1005	3	2	2	1	1	1
ch181_file12	3842	12	2	1	1	0	0
ch178_file6	4012	16	9	6	4	1	1
ch366_file15	1347	8	5	2	1	0	0
ch366_file1	2508	14	8	4	1	1	1
ch155_file5	3746	10	5	3	2	1	1
ch66_file310	1463	5	4	3	2	0	0
ch199_file12	3527	16	8	4	2	1	1
ch18_file116	5418	11	5	3	0	0	0
ch485_file65	1006	2	2	2	0	0	0
ch202_file199	4467	18	12	6	4	2	2
ch461_file64	7391	18	10	8	5	2	1
ch300_file16	6001	43	27	16	11	7	5
ch53_file17	7582	38	25	14	11	7	6
ch61_file18	3906	20	11	5	4	3	1
ch367_file143	2851	10	3	2	2	2	2
ch253_file50	4054	11	5	1	1	1	1
ch108_file37	1242	6	3	1	1	0	0
ch181_file5	1998	6	3	2	2	1	0
ch215_file125	3861	10	4	2	2	1	1
ch285_file20	7290	26	15	8	4	3	2
ch336_file19	948	3	1	1	1	0	0
ch140_file50	4394	16	10	4	2	1	1
ch195_file13	2752	10	5	4	1	1	1
ch415_file29	4546	20	11	9	3	3	3
ch281_file14	3989	10	8	5	4	4	2
ch224_file62	2014	4	1	0	0	0	0
ch18_file177	3365	14	7	5	1	1	1
ch155_file51	1126	1	1	1	1	1	0
ch166_file5	1694	5	4	2	1	0	0
ch156_file57	7457	19	13	9	5	4	4
ch138_file37	2432	7	4	3	1	1	1
ch179_file9	2364	15	7	5	3	2	0
ch139_file24	1353	2	2	1	1	1	0
ch101_file16	4480	25	18	11	8	3	1
