Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch11_file1	863	13	6	6	6	4	1
ch294_file16	2585	56	51	46	40	38	31
ch327_file6	1233	25	22	17	13	12	10
ch251_file28	2966	56	49	42	34	30	27
ch449_file1	530	6	3	3	2	2	2
ch485_file39	3549	65	52	40	32	25	17
ch214_file76	4938	100	85	69	56	51	41
ch509_file5	4018	91	80	61	52	44	36
ch223_file50	5338	92	74	63	50	40	35
ch20_file1	963	22	18	15	14	13	10
ch466_file109	6830	124	100	83	67	54	46
ch456_file13	4494	72	56	46	39	34	30
ch208_file195	4244	82	70	57	43	37	33
ch302_file153	4090	61	45	38	26	18	13
ch214_file130	6579	104	87	71	62	46	33
ch110_file125	1466	24	22	16	12	9	7
ch351_file13	7793	139	108	87	73	62	53
ch146_file1	3074	60	53	49	43	37	29
ch136_file20	4883	71	63	50	41	31	27
ch83_file3	7033	130	115	107	91	79	70
ch366_file1	2524	49	40	36	28	25	21
ch75_file90	7659	131	111	92	75	62	52
ch456_file9	588	12	11	10	8	7	7
ch1_file149	2251	49	40	34	28	20	18
ch162_file45	6167	137	111	98	79	68	56
ch160_file18	932	12	10	8	7	6	5
ch101_file9	8782	162	133	117	100	79	70
ch16_file11	5319	77	60	52	44	32	26
ch281_file0	837	9	7	7	3	1	0
ch140_file60	1238	23	17	14	13	12	11
ch276_file108	3029	53	46	39	30	28	25
ch18_file177	3585	54	41	31	23	19	17
ch184_file115	7884	163	130	108	88	78	68
ch223_file64	2250	40	33	30	23	20	16
ch134_file17	8617	159	122	108	86	67	59
ch360_file4	1836	41	35	30	27	23	20
ch249_file88	3687	66	54	47	40	35	33
ch436_file14	2676	43	37	33	30	28	24
ch325_file2	3229	59	47	34	31	29	26
ch285_file89	3418	75	58	42	34	27	24
ch224_file104	1003	21	20	16	11	10	8
ch412_file22	1427	24	22	21	17	14	13
ch25_file571	1153	13	8	8	5	3	2
ch434_file16	2117	47	37	32	27	24	21
ch26_file113	8628	157	128	106	86	68	61
ch168_file20	1145	17	14	10	9	6	6
ch53_file17	7928	144	122	108	96	82	71
ch84_file10	1748	24	21	16	15	13	9
ch327_file62	297	4	4	4	3	3	3
ch195_file128	4079	69	57	50	46	37	31
ch474_file49	4487	72	62	51	38	32	25
ch327_file4	4098	86	74	67	59	50	43
ch254_file1	977	21	18	15	12	10	8
ch488_file38	1848	31	25	24	19	13	11
ch286_file2	1580	30	21	13	10	8	7
ch208_file15	1387	19	17	9	9	6	4
ch281_file60	5121	74	56	49	38	29	21
ch149_file12	6249	107	79	70	56	45	37
ch61_file18	4025	64	58	53	46	40	35
ch248_file16	5865	118	99	84	74	60	46
ch306_file46	4687	98	78	69	57	48	39
ch296_file33	6120	118	96	82	68	58	48
ch302_file45	6306	102	89	76	58	48	40
ch374_file20	6295	141	121	104	90	75	64
ch286_file109	7378	137	114	97	85	64	49
ch294_file1	1707	38	34	28	25	25	16
ch336_file11	5926	127	107	88	66	53	48
ch155_file5	3963	77	64	56	46	40	32
ch474_file67	4338	92	81	67	51	45	37
ch411_file19	2096	28	24	19	13	11	11
ch509_file57	3510	59	51	42	35	29	23
ch154_file122	2227	29	21	16	11	8	7
ch216_file147	5294	107	90	74	56	46	35
ch75_file62	3712	57	44	30	24	21	18
ch300_file94	2246	45	37	32	28	24	20
ch281_file131	4034	72	57	45	38	32	25
ch166_file29	1485	25	22	20	19	13	12
ch189_file3	1022	21	20	19	18	18	17
ch326_file4	4124	85	73	63	53	40	35
ch18_file116	5696	94	72	52	43	36	28
ch176_file45	1758	28	26	21	13	11	9
ch504_file17	1289	31	24	17	14	11	9
ch441_file17	4283	82	70	59	53	48	41
ch202_file20	6003	73	59	52	44	41	32
ch180_file151	5589	118	100	86	75	64	48
ch426_file81	3205	53	44	37	30	28	24
ch179_file90	4952	86	75	60	47	41	32
ch138_file178	5460	104	92	78	67	55	48
ch327_file150	2006	45	33	25	19	16	13
ch77_file19	2945	42	34	27	22	20	16
ch306_file123	4360	64	48	35	26	19	17
ch452_file18	2760	58	45	37	32	31	27
ch324_file40	3840	77	62	51	42	35	28
ch135_file7	1169	25	22	18	15	13	10
ch441_file28	2028	35	30	26	20	16	15
ch243_file77	5013	97	80	60	52	42	34
ch512_file27	1439	28	24	19	14	13	11
ch406_file46	1835	24	21	17	13	11	11
ch224_file62	1884	25	18	14	13	12	9
ch181_file5	2185	38	29	26	23	21	19
ch328_file9	1307	30	22	16	13	10	10
ch214_file40	3993	60	53	46	42	38	29
ch306_file109	1538	23	18	15	12	11	11
ch14_file1	4023	83	68	62	53	47	41
ch181_file18	5959	126	113	99	87	72	56
ch19_file9	2800	51	40	32	29	27	18
ch281_file21	1751	10	5	4	4	4	3
ch368_file83	6019	103	90	78	64	59	48
ch243_file84	3930	54	40	35	28	22	15
ch133_file53	2798	54	46	40	27	21	13
ch196_file26	5041	78	68	55	45	37	29
ch284_file18	5703	124	100	81	60	46	40
ch164_file125	4497	72	57	45	40	34	31
ch453_file54	713	13	9	6	5	1	1
ch11_file127	6351	110	89	70	56	46	38
ch361_file21	3360	59	48	40	31	25	14
ch20_file78	4728	89	71	58	46	38	26
ch422_file56	3572	77	59	45	37	31	26
ch136_file24	2669	59	53	41	29	23	23
ch136_file92	4940	97	81	66	58	50	43
ch140_file54	1438	22	21	17	14	9	5
ch58_file16	9569	198	161	133	116	101	84
ch328_file5	1312	29	25	19	15	14	13
ch336_file19	884	19	16	10	10	7	5
ch57_file5	4910	79	66	54	44	36	29
ch144_file74	5790	90	78	66	52	44	36
ch300_file16	6098	140	122	98	84	66	59
ch155_file51	1080	18	16	13	10	10	6
ch136_file14	1311	21	13	10	10	7	4
ch314_file184	809	20	13	9	7	3	3
ch195_file13	2914	55	48	40	35	32	29
ch292_file18	4433	85	71	61	51	46	43
ch375_file73	7562	144	118	98	85	80	67
ch512_file21	2485	46	35	29	21	19	17
ch442_file94	6262	129	103	94	85	70	54
ch106_file237	4261	46	37	27	22	16	13
ch416_file21	4016	65	59	51	44	37	30
ch251_file15	3231	70	59	53	44	41	34
ch292_file25	4623	82	62	49	45	38	34
ch285_file0	2733	53	46	39	30	21	16
ch19_file2	4524	85	69	57	51	45	38
ch18_file134	650	9	9	8	8	6	5
ch1_file23	5465	67	59	47	35	30	23
ch161_file152	937	17	15	13	11	10	8
ch375_file27	4415	71	62	53	48	39	35
ch181_file67	2535	38	36	31	24	18	15
ch303_file73	5909	111	87	80	69	55	46
ch83_file13	3223	62	44	39	33	26	21
ch452_file47	3289	56	42	32	25	19	17
ch253_file21	5682	101	83	68	61	49	46
ch285_file15	4220	83	73	61	49	43	38
ch481_file7	7133	136	112	94	79	71	67
ch19_file194	2498	38	31	28	26	21	19
ch336_file63	3892	60	49	41	34	33	28
ch154_file86	5485	82	69	53	42	36	33
ch4_file127	1746	28	23	17	13	10	9
ch162_file81	2652	49	40	33	26	23	21
ch441_file23	1765	33	31	25	21	19	16
ch285_file20	7475	147	125	106	87	69	63
ch354_file31	3619	71	63	57	49	40	36
ch450_file50	3628	59	45	33	29	25	22
ch221_file7	2709	40	31	25	16	13	11
ch248_file81	2737	58	55	52	46	39	31
ch281_file76	4683	64	49	38	32	28	20
ch168_file26	2743	41	27	16	12	9	7
ch223_file25	1716	25	23	20	16	12	12
ch75_file134	6513	112	98	85	75	61	51
ch18_file87	5224	88	73	61	48	32	26
ch154_file119	7620	176	149	128	109	86	69
ch408_file8	3644	66	56	49	38	32	27
ch461_file72	3728	63	49	39	34	27	25
ch306_file57	5420	118	106	92	78	71	63
ch110_file8	1350	29	27	23	19	16	15
ch9_file30	1735	30	28	24	22	17	15
ch423_file3	7510	170	146	124	110	92	80
ch66_file52	4814	75	58	47	35	25	21
ch360_file23	5003	102	80	69	61	58	45
ch411_file59	2523	34	26	23	20	18	14
ch360_file97	1855	31	29	21	19	19	16
ch85_file155	4672	68	55	46	39	35	31
ch474_file62	1395	22	16	12	11	9	8
ch248_file32	6054	130	112	94	70	55	49
ch407_file43	7513	148	123	104	91	77	64
ch455_file74	1614	31	23	20	19	14	11
ch161_file87	857	13	12	7	7	7	7
ch135_file43	2670	39	30	26	23	16	14
ch14_file4	3087	43	37	30	26	25	16
ch433_file121	3586	58	48	38	30	25	20
ch325_file26	1402	27	21	17	14	12	9
ch59_file5	1102	28	26	20	17	12	10
ch407_file35	5586	105	93	77	60	51	47
ch249_file23	5759	122	109	92	80	70	62
ch453_file99	5480	121	93	87	70	58	52
ch450_file164	2213	37	33	29	23	18	14
ch66_file62	2834	52	41	31	27	18	16
ch408_file28	3010	61	54	45	37	34	29
ch281_file22	4757	51	37	26	18	14	13
ch453_file93	6091	133	116	93	76	62	52
ch84_file34	447	9	9	9	7	6	5
ch75_file5	4771	68	52	42	32	28	22
ch286_file93	4373	91	65	56	44	30	25
ch494_file101	2408	41	33	28	25	21	18
ch66_file130	6550	151	128	104	93	79	67
ch136_file23	3447	57	47	34	32	23	18
ch136_file11	3010	47	30	25	21	17	15
ch177_file2	3857	68	57	52	46	37	34
ch314_file53	1810	37	33	29	27	25	18
ch18_file25	714	14	12	8	8	3	1
ch361_file15	1253	24	22	21	20	16	13
ch94_file149	1546	29	23	15	11	11	8
ch9_file40	1431	22	18	13	11	8	8
ch366_file44	1091	17	15	12	10	8	6
ch505_file145	5442	87	75	62	51	42	41
ch314_file4	3412	70	62	53	45	42	37
ch155_file35	673	15	12	11	9	8	5
ch367_file17	1436	28	27	25	18	16	15
ch224_file43	9049	169	137	112	84	65	49
ch139_file35	744	13	11	8	5	3	0
ch26_file36	6306	111	90	75	61	47	34
ch354_file16	4217	89	77	67	59	51	41
ch110_file39	5413	94	81	67	58	47	39
ch458_file27	737	10	8	6	5	4	3
ch351_file49	4325	74	66	54	42	30	22
ch196_file4	693	13	12	9	6	5	5
ch456_file18	5357	82	71	62	46	34	23
ch136_file37	5089	85	69	59	49	38	31
ch360_file110	1464	24	21	18	11	8	4
ch405_file90	3961	55	41	30	27	25	19
ch202_file142	5442	81	70	57	49	39	36
ch327_file43	5495	84	65	54	50	44	38
ch42_file57	1558	26	25	20	16	14	12
ch481_file25	4354	92	79	70	64	55	47
ch138_file37	2462	38	31	27	23	21	17
ch199_file12	3587	69	56	47	41	34	30
ch405_file34	3553	62	54	48	41	35	30
ch219_file9	1582	28	25	21	17	13	10
ch211_file38	1367	25	20	18	14	13	11
ch133_file40	4971	85	65	51	40	33	28
ch108_file37	1231	23	20	18	15	10	8
ch367_file143	2877	48	40	31	25	19	17
ch135_file40	3478	55	45	38	30	27	23
ch85_file225	7383	128	93	73	61	48	41
ch133_file36	5317	94	75	67	58	48	41
ch248_file107	2264	50	40	35	31	28	21
ch290_file21	843	14	14	12	9	9	8
ch253_file50	4156	79	67	52	48	43	36
ch215_file8	7666	156	130	108	96	82	73
ch188_file34	9175	202	176	149	128	112	97
ch99_file7	3528	66	57	51	46	40	36
ch214_file53	6321	104	83	70	54	44	40
ch466_file113	3136	46	33	23	15	12	10
ch406_file47	5794	94	76	62	48	34	27
ch170_file0	1333	26	23	19	15	15	11
ch251_file16	3526	79	72	63	53	43	41
ch156_file57	4823	76	59	53	45	38	32
ch406_file144	9890	194	159	129	111	96	77
ch11_file215	525	2	1	0	0	0	0
ch196_file14	2219	51	43	35	26	23	20
ch248_file15	823	13	11	10	8	7	5
ch485_file65	999	8	4	4	4	4	3
ch223_file14	4094	76	64	52	41	36	29
ch486_file4	4231	84	75	66	54	51	46
ch354_file2	2924	56	50	46	41	38	37
ch26_file75	4396	55	41	32	29	24	19
ch181_file61	3258	71	63	55	46	41	31
ch202_file14	5579	101	83	69	59	50	34
ch53_file21	4348	89	72	62	53	46	42
ch223_file85	1030	20	17	16	14	12	11
ch214_file143	4039	59	44	40	30	25	22
ch198_file37	5282	105	85	69	61	51	45
ch139_file34	2932	49	37	32	25	16	15
ch468_file5	7217	106	91	79	68	59	55
ch224_file1	2657	60	47	36	30	25	21
ch328_file94	3839	66	48	39	32	24	19
ch354_file9	2487	40	35	29	29	24	20
ch166_file5	2051	42	39	29	25	22	19
ch138_file0	3314	43	31	22	17	13	12
ch284_file15	5260	100	85	73	66	54	41
ch452_file79	2761	31	22	17	16	10	9
ch294_file30	3974	72	66	57	54	48	43
ch181_file12	4019	74	65	52	45	37	32
ch140_file50	4582	63	46	36	30	22	18
ch362_file35	1306	20	19	17	13	11	9
ch423_file16	1625	37	29	26	24	19	17
ch25_file29	840	12	8	8	5	4	3
ch415_file17	5275	103	86	74	64	58	49
ch327_file106	5242	100	79	66	54	44	37
ch361_file8	6155	129	108	95	83	72	63
ch178_file15	1811	40	27	23	20	19	15
ch100_file7	1402	22	19	17	15	12	12
ch90_file19	4141	78	62	49	39	32	27
ch139_file63	1519	25	24	22	15	13	11
ch48_file7	3709	69	60	41	32	27	25
ch286_file160	2591	53	44	36	34	29	22
ch498_file3	4048	89	81	67	61	51	46
ch68_file26	2381	46	34	28	22	18	16
ch276_file86	5519	89	74	57	47	40	30
ch187_file3	3341	71	59	50	41	31	24
ch199_file50	2929	63	51	42	35	31	24
ch243_file82	2550	40	30	27	22	17	15
ch366_file15	1345	31	25	20	17	14	12
ch355_file34	4523	101	84	67	55	46	38
ch202_file99	821	10	8	6	3	2	1
ch294_file155	4482	79	53	44	37	30	23
ch98_file65	1252	21	18	15	11	8	7
ch25_file16	1391	23	19	17	15	12	10
ch219_file48	690	14	13	8	7	5	4
ch66_file310	1299	18	17	15	12	11	7
ch415_file76	4341	80	68	56	43	35	24
ch149_file87	863	10	7	5	3	3	2
ch1_file104	4692	79	63	46	39	37	32
ch139_file41	2552	42	32	26	24	17	13
ch181_file7	1335	28	27	20	18	14	12
ch415_file103	5115	92	73	60	47	39	31
ch336_file34	4200	65	50	38	30	26	22
ch195_file76	5795	91	73	62	50	44	39
ch367_file134	6377	119	97	82	71	64	58
ch465_file55	754	13	11	9	6	5	5
ch453_file58	2700	61	49	44	38	32	27
ch423_file76	8002	119	98	91	79	69	62
ch466_file127	7778	144	112	93	77	61	49
ch468_file130	3855	77	68	55	48	41	34
ch483_file9	546	12	9	8	6	5	5
ch468_file145	4357	87	69	59	48	41	34
ch327_file141	1696	30	28	24	22	19	19
ch68_file141	3594	66	52	44	38	30	25
ch1_file74	8014	123	109	89	74	59	49
ch292_file74	3572	56	50	45	39	31	23
ch174_file4	4262	65	58	52	46	41	36
ch94_file113	3667	73	61	51	46	37	34
ch166_file57	6602	132	106	84	64	47	45
ch351_file19	2114	32	28	25	22	18	14
ch290_file0	2307	46	43	34	31	27	26
ch336_file55	1082	18	15	14	10	8	7
ch72_file74	888	16	14	12	12	12	12
ch422_file14	847	19	16	12	11	8	7
ch458_file160	5554	105	82	73	53	43	35
ch179_file9	2334	42	39	35	29	27	26
ch453_file96	5866	102	82	66	57	47	35
ch375_file56	592	9	5	3	3	2	2
ch78_file1	675	9	8	7	6	6	6
ch218_file117	4935	85	73	62	44	37	30
