Id	Length	nk15	nk17	nk19	nk21	nk23	nk25
ch215_file125	3115	2	2	1	1	0	0
ch450_file50	3202	7	3	2	2	2	2
ch243_file36	3969	17	14	8	5	4	1
ch202_file99	723	5	1	1	1	0	0
ch202_file199	4284	8	8	5	1	0	0
ch26_file18	2850	19	9	7	3	1	0
ch133_file40	4518	16	8	4	4	3	2
ch160_file18	1267	7	6	5	4	4	1
ch336_file55	959	4	2	1	0	0	0
ch108_file37	1141	6	3	2	1	1	0
ch276_file86	5511	19	15	10	4	2	2
ch156_file57	4247	14	6	4	3	2	2
ch292_file74	3566	13	8	5	4	2	1
ch408_file8	3366	23	14	10	7	5	5
ch208_file195	4106	9	3	3	1	0	0
ch85_file155	4297	14	8	3	2	1	0
ch450_file123	3859	19	11	7	2	0	0
ch406_file47	5037	21	15	11	6	2	1
ch248_file16	5308	30	20	9	5	3	3
ch83_file3	6799	36	24	18	13	6	2
ch136_file92	4521	19	9	4	1	1	1
ch285_file89	3112	13	8	3	1	1	1
ch456_file13	4194	18	12	7	6	4	4
ch296_file33	5554	32	18	14	8	5	3
ch144_file37	5035	11	5	1	0	0	0
ch294_file16	2466	17	9	6	4	2	2
ch433_file121	5912	20	11	4	4	2	2
ch224_file104	892	6	3	2	1	0	0
ch155_file208	7934	26	11	7	3	1	1
ch327_file106	4985	25	14	7	2	1	1
ch468_file145	4070	8	3	1	1	1	1
ch75_file14	7112	34	18	13	6	4	2
ch461_file72	3522	8	4	2	1	1	1
ch84_file103	3357	13	7	3	0	0	0
ch325_file2	2780	13	8	3	1	0	0
ch374_file18	7477	57	37	25	16	12	7
ch216_file147	4886	30	24	15	10	6	4
ch110_file8	1230	7	3	2	1	1	0
ch1_file104	4509	14	7	3	1	1	0
ch138_file0	2916	10	7	5	3	1	1
ch84_file10	1591	7	5	3	1	0	0
ch84_file70	6651	41	27	18	14	8	7
ch281_file21	1445	3	1	0	0	0	0
ch66_file52	4150	11	4	3	3	2	1
ch214_file76	4451	12	10	6	2	1	1
ch172_file66	818	2	2	1	1	0	0
ch179_file9	2194	15	9	6	4	1	1
ch61_file18	3662	16	9	6	3	3	1
ch360_file53	3619	19	10	5	4	3	1
ch407_file43	6711	36	23	15	9	7	4
ch140_file60	1081	5	3	2	0	0	0
ch328_file5	1193	7	6	4	3	3	1
ch290_file73	2009	7	5	2	2	2	2
ch100_file7	1359	12	9	7	2	1	1
ch291_file20	3271	16	8	5	4	2	2
ch302_file153	3733	6	6	2	0	0	0
ch243_file5	2062	15	10	5	4	2	2
ch296_file10	825	4	2	1	1	0	0
ch281_file46	4275	5	5	2	1	0	0
ch253_file41	3799	19	10	3	2	1	0
ch249_file77	3752	13	6	4	2	2	0
ch281_file60	4166	3	2	0	0	0	0
ch20_file2	416	2	0	0	0	0	0
ch248_file96	1253	5	2	2	2	2	1
ch512_file2	920	5	4	4	3	3	1
ch276_file133	5972	11	8	5	2	1	0
ch294_file155	4231	2	2	1	0	0	0
ch59_file5	1044	4	2	1	1	1	0
ch285_file15	3869	20	11	8	3	2	1
ch196_file29	2152	14	6	3	2	2	1
ch510_file59	5751	12	7	5	2	0	0
ch314_file53	1693	12	7	4	2	1	1
ch375_file73	6864	51	32	21	11	9	3
ch450_file35	4181	24	15	13	8	6	2
ch26_file131	5379	25	18	12	10	5	4
ch78_file40	2108	9	7	4	4	2	2
ch415_file17	4754	16	10	6	5	4	3
ch284_file3	4581	6	2	0	0	0	0
ch196_file56	4011	14	7	5	4	2	2
ch189_file3	964	9	8	6	5	2	1
ch375_file56	561	1	1	1	0	0	0
ch140_file26	5283	19	8	5	3	2	0
ch154_file90	5676	32	19	15	10	7	4
ch146_file1	2786	7	2	2	2	1	1
ch168_file26	2554	3	1	0	0	0	0
ch164_file125	4234	16	10	6	3	2	1
ch223_file25	1511	2	1	0	0	0	0
ch512_file27	1348	8	6	0	0	0	0
ch26_file75	3858	5	2	2	1	0	0
ch179_file90	4884	22	14	11	8	3	1
ch181_file5	2068	18	12	9	5	4	3
ch139_file35	592	1	1	1	1	1	0
ch199_file98	1144	7	4	2	2	1	1
ch166_file5	1985	12	10	6	5	3	2
ch453_file58	2447	20	14	9	4	3	1
ch362_file10	1843	11	6	1	1	0	0
ch18_file116	5467	12	6	2	2	0	0
ch168_file20	1122	5	3	2	2	1	1
ch149_file8	2192	9	5	4	2	2	2
ch335_file147	1588	3	2	1	0	0	0
ch199_file50	4351	26	12	7	5	4	2
ch360_file4	1655	14	4	2	0	0	0
ch53_file17	7362	40	25	19	15	8	6
ch494_file101	2102	3	3	3	2	0	0
ch466_file109	6372	24	16	9	5	3	1
ch300_file16	5782	32	15	9	5	3	1
ch251_file15	3189	31	16	7	6	5	5
ch512_file50	1494	7	5	4	3	1	1
ch292_file25	4420	19	13	12	8	5	4
ch180_file151	5299	23	12	8	6	4	3
ch327_file150	1901	13	10	5	4	3	1
ch286_file108	2699	10	6	4	3	2	1
ch181_file7	1279	8	5	4	1	0	0
ch42_file38	5602	30	18	11	6	3	2
ch367_file143	2523	5	4	3	3	3	2
ch290_file0	2184	11	10	4	4	2	1
ch94_file149	1436	3	1	1	0	0	0
ch405_file90	3504	5	3	1	1	0	0
ch19_file194	2335	11	6	3	1	0	0
ch162_file45	5804	48	30	17	12	8	6
ch361_file15	1230	4	1	1	1	1	1
ch302_file32	3377	19	14	8	5	4	2
ch53_file21	4084	18	13	8	7	6	3
ch155_file51	1041	4	1	1	0	0	0
ch181_file31	6885	30	19	14	7	3	2
ch188_file34	8765	50	30	21	13	8	6
ch314_file184	802	1	1	0	0	0	0
ch178_file15	1721	6	2	1	0	0	0
ch251_file16	3221	22	17	9	3	3	2
ch461_file64	7523	28	15	9	5	3	2
ch223_file64	1976	6	3	2	1	0	0
ch83_file13	2895	15	12	10	7	5	2
ch133_file53	2524	7	4	2	2	0	0
ch375_file17	5811	21	16	10	5	3	2
ch452_file143	3078	1	0	0	0	0	0
ch422_file26	2209	6	4	2	2	1	1
ch224_file62	1555	0	0	0	0	0	0
ch198_file37	4922	27	16	6	3	1	1
ch284_file15	4646	24	15	11	7	4	3
ch306_file123	4001	2	0	0	0	0	0
ch281_file131	3587	14	6	3	1	1	0
ch136_file23	3323	9	4	3	2	1	1
ch164_file61	3877	23	13	10	8	4	1
ch452_file47	3170	11	6	3	3	3	1
ch412_file8	6960	39	22	14	8	3	3
ch174_file4	3812	26	16	13	9	6	4
ch416_file21	3490	20	14	9	7	4	3
ch405_file34	3167	14	9	6	0	0	0
ch160_file5	3172	16	11	9	6	2	0
ch505_file145	5273	28	17	10	4	2	1
ch426_file89	923	3	1	1	0	0	0
ch449_file50	3172	7	2	2	1	1	0
ch148_file4	1303	11	5	3	3	3	3
ch139_file41	2151	6	3	3	0	0	0
ch406_file140	3243	16	11	8	3	1	1
ch162_file55	3320	18	11	10	4	3	2
ch351_file12	1195	3	2	0	0	0	0
ch286_file109	7147	31	15	6	5	1	0
ch214_file40	3593	14	10	6	4	2	1
ch327_file84	3183	7	6	3	2	1	1
ch138_file37	2115	3	2	2	1	1	0
ch474_file67	3729	14	3	1	1	1	0
ch474_file62	1280	7	1	0	0	0	0
ch374_file20	5956	44	24	15	9	8	6
ch14_file4	2805	12	7	5	4	3	2
ch366_file30	4270	32	20	11	6	5	3
ch498_file3	3877	39	29	18	16	7	4
ch144_file74	5209	18	11	7	3	2	1
ch300_file9	979	4	3	1	1	0	0
ch135_file4	3308	20	15	9	5	4	2
ch155_file5	3389	22	13	8	5	3	1
ch450_file164	2085	7	1	1	1	0	0
ch248_file81	2505	18	12	5	2	2	1
ch360_file110	1324	2	1	1	1	1	1
ch254_file1	914	5	3	2	2	2	1
ch468_file5	6951	42	29	20	12	8	5
ch161_file87	812	3	3	2	1	0	0
ch25_file16	1197	4	1	1	0	0	0
ch406_file46	1650	5	4	2	1	0	0
ch355_file34	4347	24	9	3	3	2	1
ch136_file37	4538	18	14	8	5	2	1
ch1_file74	6805	21	13	5	3	1	1
ch442_file94	6071	30	13	5	0	0	0
ch453_file54	662	3	3	2	1	1	1
ch138_file178	5168	28	19	13	9	6	4
ch436_file14	2531	22	15	11	8	3	1
ch452_file18	2493	17	13	8	5	2	0
ch66_file109	1210	7	3	2	0	0	0
ch214_file35	3067	15	9	8	6	3	1
ch214_file12	8248	43	24	15	9	7	4
ch25_file29	675	1	1	0	0	0	0
ch75_file90	7394	24	11	5	3	1	1
ch215_file8	6976	32	20	11	10	5	3
ch90_file19	3512	11	7	5	4	1	1
ch468_file28	4718	18	9	5	3	2	0
ch181_file12	3808	31	17	11	3	0	0
ch20_file78	4502	20	10	6	3	2	1
ch452_file7	1880	10	5	4	3	2	1
ch361_file8	6078	59	32	23	17	15	10
ch366_file15	1254	16	11	8	5	4	2
ch434_file9	4258	37	25	17	11	6	3
ch161_file152	911	2	1	0	0	0	0
ch214_file65	5137	8	5	1	1	1	1
ch415_file82	766	0	0	0	0	0	0
ch78_file1	635	1	1	1	0	0	0
ch336_file19	749	5	3	2	2	1	1
ch296_file23	1637	3	2	1	1	0	0
ch415_file103	4884	15	8	5	4	2	2
ch453_file96	5591	19	13	5	2	1	1
ch466_file127	7158	26	15	10	6	4	3
ch181_file61	2980	10	7	4	1	1	1
ch468_file130	3746	24	14	5	3	1	1
ch354_file9	2402	13	9	6	3	2	2
ch285_file18	1630	10	6	2	0	0	0
ch251_file28	2746	18	16	14	7	3	2
ch1_file119	959	5	2	2	2	1	1
ch53_file4	4965	39	26	18	12	11	7
ch488_file38	1717	6	6	5	3	2	1
ch94_file113	3418	15	8	4	3	1	1
ch362_file35	1241	9	7	5	3	2	2
ch19_file9	2387	11	6	4	3	2	0
ch4_file127	1583	3	2	0	0	0	0
ch18_file87	4564	13	9	5	4	3	3
ch306_file109	1471	2	0	0	0	0	0
ch483_file9	505	2	1	1	1	0	0
ch208_file15	1219	3	1	1	1	1	1
ch248_file32	5470	26	16	12	7	4	4
ch253_file50	3993	11	8	5	1	1	1
ch281_file14	3365	11	7	2	0	0	0
ch195_file0	7069	40	24	14	9	5	3
ch354_file2	2883	27	19	12	8	7	4
ch1_file103	6031	14	7	5	3	2	1
ch422_file56	3348	10	4	2	2	1	1
ch286_file165	3021	13	4	2	1	1	1
ch504_file44	1896	5	4	0	0	0	0
ch136_file20	3894	7	3	1	0	0	0
ch84_file87	5460	15	12	3	1	1	0
ch101_file16	4607	32	21	11	7	0	0
ch110_file125	1437	2	1	0	0	0	0
ch423_file76	7464	38	22	17	13	8	5
ch196_file4	634	2	1	1	1	1	1
ch223_file14	3484	5	3	1	0	0	0
ch285_file20	6745	36	24	11	7	2	1
ch324_file40	3550	16	11	6	3	1	1
ch101_file9	8291	59	41	26	16	9	7
ch325_file26	1236	2	1	0	0	0	0
ch26_file19	1037	2	2	1	1	0	0
ch458_file160	5213	9	4	1	0	0	0
ch426_file81	2892	5	1	0	0	0	0
ch411_file19	1841	6	5	2	1	1	1
ch411_file59	2367	3	1	0	0	0	0
ch195_file128	3953	2	2	1	1	1	1
ch26_file36	5552	21	14	5	2	2	0
ch85_file225	6924	18	5	1	0	0	0
ch17_file5	3542	17	11	5	3	2	2
ch368_file80	2745	20	14	8	6	3	3
ch140_file50	4227	9	8	4	3	1	1
ch452_file85	5376	22	13	8	6	5	4
ch77_file19	2606	7	3	2	0	0	0
ch412_file22	1309	7	6	5	2	2	1
ch360_file23	4612	30	18	10	8	5	2
ch223_file85	973	9	7	5	4	2	2
ch57_file5	4762	25	15	13	10	6	5
